spkid,H,diameter,e,a,q,i,ad,albedo,spec_B,main_class
20000003,5.18,246.596,0.2561,2.67,1.986,12.99,3.35,0.214,Sk,S-type
20000005,6.99,106.699,0.1873,2.576,2.094,5.36,3.06,0.274,S,S-type
20000006,5.61,185.18,0.2024,2.426,1.935,14.73,2.92,0.2679,S,S-type
20000007,5.64,199.83,0.2299,2.386,1.838,5.52,2.93,0.2766,S,S-type
20000011,6.73,142.887,0.0994,2.453,2.209,4.63,2.7,0.191,Sk,S-type
20000012,7.3,115.087,0.2201,2.334,1.82,8.37,2.85,0.163,L,S-type
20000013,6.91,202.636,0.0854,2.578,2.358,16.53,2.8,0.049,Ch,C-type
20000014,6.54,152.0,0.163,2.59,2.167,9.13,3.01,0.159,S,S-type
20000015,5.41,231.689,0.1876,2.644,2.148,11.76,3.14,0.248,S,S-type
20000017,7.93,84.899,0.1322,2.471,2.144,5.59,2.8,0.193,Sl,S-type
20000018,6.35,139.594,0.2183,2.295,1.794,10.13,2.8,0.181,S,S-type
20000019,7.5,200.0,0.1575,2.442,2.057,1.57,2.83,0.037,Ch,C-type
20000020,6.54,135.68,0.1437,2.408,2.062,0.71,2.75,0.241,S,S-type
20000023,7.17,107.53,0.2311,2.629,2.021,10.11,3.24,0.2536,S,S-type
20000025,7.87,61.054,0.2542,2.4,1.79,21.61,3.01,0.35,S,S-type
20000026,7.53,94.8,0.0882,2.658,2.424,3.56,2.89,0.1966,S,S-type
20000027,7.04,96.0,0.1714,2.348,1.945,1.58,2.75,0.215,S,S-type
20000028,7.25,120.9,0.1493,2.778,2.363,9.42,3.19,0.1763,S,S-type
20000029,5.98,189.559,0.0736,2.554,2.366,6.08,2.74,0.216,S,S-type
20000030,7.59,92.787,0.1269,2.366,2.066,2.09,2.67,0.192,Sl,S-type
20000032,7.78,80.76,0.0816,2.587,2.376,5.52,2.8,0.2564,S,S-type
20000033,8.5,52.929,0.3317,2.873,1.92,1.85,3.83,0.24,Sq,S-type
20000034,8.78,132.992,0.1068,2.686,2.399,5.5,2.97,0.023,Ch,C-type
20000037,7.39,108.35,0.175,2.642,2.18,3.07,3.1,0.1826,S,S-type
20000039,5.97,179.484,0.112,2.768,2.458,10.37,3.08,0.269,S,S-type
20000040,6.55,111.251,0.0461,2.267,2.163,4.26,2.37,0.22,S,S-type
20000041,7.63,205.495,0.2717,2.769,2.017,15.74,3.52,0.059,Ch,C-type
20000042,7.71,110.997,0.222,2.443,1.9,8.51,2.98,0.139,L,S-type
20000043,7.96,71.34,0.1685,2.203,1.832,3.47,2.57,0.234,Sk,S-type
20000048,7.14,216.473,0.0665,3.112,2.905,6.56,3.32,0.065,Ch,C-type
20000049,8.02,166.252,0.2216,3.099,2.412,3.2,3.79,0.048,Ch,C-type
20000050,9.47,84.074,0.2848,2.652,1.897,2.84,3.41,0.05,Ch,C-type
20000051,7.74,138.159,0.0661,2.366,2.21,9.97,2.52,0.1,Ch,C-type
20000057,7.0,112.59,0.1084,3.155,2.813,15.24,3.5,0.2149,S,S-type
20000058,9.04,106.517,0.0454,2.7,2.577,5.07,2.82,0.044,Ch,C-type
20000060,8.65,43.218,0.1845,2.392,1.951,3.6,2.83,0.373,S,S-type
20000061,7.75,85.937,0.1641,2.986,2.496,18.2,3.48,0.203,S,S-type
20000062,8.93,106.921,0.1681,3.131,2.604,2.24,3.66,0.048,Ch,C-type
20000063,7.13,116.044,0.1282,2.395,2.088,5.77,2.7,0.125,Sa,S-type
20000066,9.51,71.82,0.1724,2.646,2.19,3.04,3.1,0.016,Ch,C-type
20000067,8.41,56.309,0.1846,2.423,1.976,6.03,2.87,0.228,S,S-type
20000070,8.2,127.911,0.1827,2.614,2.136,11.6,3.09,0.038,Ch,C-type
20000078,8.34,120.6,0.2034,2.622,2.089,8.68,3.16,0.0706,Ch,C-type
20000079,7.78,63.479,0.1912,2.445,1.977,4.61,2.91,0.287,S,S-type
20000080,8.06,68.563,0.1997,2.296,1.838,8.68,2.75,0.206,S,S-type
20000082,8.27,57.621,0.2209,2.762,2.152,2.83,3.37,0.167,Sq,S-type
20000084,9.34,79.16,0.2356,2.363,1.806,9.31,2.92,0.0527,Ch,C-type
20000089,6.37,145.483,0.184,2.551,2.082,16.12,3.02,0.189,K,S-type
20000091,9.14,103.402,0.1076,2.589,2.31,2.1,2.87,0.048,Ch,C-type
20000095,8.02,147.969,0.153,3.064,2.595,13.01,3.53,0.058,Ch,C-type
20000098,8.97,132.788,0.1878,2.686,2.182,15.58,3.19,0.029,Ch,C-type
20000100,7.78,85.734,0.1681,3.089,2.57,6.43,3.61,0.205,S,S-type
20000101,8.42,65.84,0.1407,2.583,2.22,10.19,2.95,0.1898,S,S-type
20000103,7.77,83.908,0.0796,2.704,2.488,5.42,2.92,0.217,S,S-type
20000104,8.55,136.553,0.1623,3.144,2.633,2.79,3.65,0.052,Ch,C-type
20000105,8.75,94.864,0.179,2.373,1.948,21.45,2.8,0.032,Ch,C-type
20000108,7.99,75.498,0.063,3.231,3.028,4.21,3.43,0.148,Sl,S-type
20000109,9.0,82.588,0.3004,2.693,1.884,7.85,3.5,0.036,Ch,C-type
20000111,8.24,126.344,0.1032,2.594,2.326,4.93,2.86,0.062,Ch,C-type
20000112,9.79,69.818,0.1281,2.434,2.122,2.6,2.75,0.042,Ch,C-type
20000113,8.56,50.137,0.0859,2.376,2.172,5.04,2.58,0.224,S,S-type
20000115,7.79,79.83,0.1925,2.38,1.922,11.59,2.84,0.2747,S,S-type
20000116,7.81,71.7,0.139,2.771,2.386,3.56,3.16,0.256,Sk,S-type
20000118,8.94,40.211,0.1635,2.437,2.039,7.75,2.84,0.245,S,S-type
20000119,8.39,57.3,0.0821,2.581,2.369,5.79,2.79,0.2306,Sl,S-type
20000121,7.44,209.0,0.1252,3.455,3.023,7.57,3.89,0.0482,Ch,C-type
20000122,7.7,70.676,0.0244,3.231,3.152,1.64,3.31,0.297,L,S-type
20000123,9.01,45.209,0.1203,2.695,2.37,6.41,3.02,0.261,S,S-type
20000124,8.08,88.648,0.0783,2.629,2.424,2.96,2.84,0.128,S,S-type
20000127,8.57,122.0,0.0635,2.756,2.581,8.24,2.93,0.042,Ch,C-type
20000130,7.47,180.652,0.2096,3.125,2.47,22.78,3.78,0.086,Ch,C-type
20000133,8.07,72.175,0.1334,3.066,2.658,7.21,3.48,0.279,S,S-type
20000134,8.98,108.0,0.1151,2.564,2.269,11.61,2.86,0.0364,Ch,C-type
20000141,8.39,117.916,0.2132,2.667,2.098,11.89,3.24,0.067,Ch,C-type
20000144,8.12,142.38,0.2358,2.653,2.027,4.82,3.28,0.0597,Ch,C-type
20000145,8.43,127.783,0.1472,2.672,2.278,12.62,3.06,0.061,Ch,C-type
20000146,8.53,160.31,0.0658,2.718,2.539,13.1,2.9,0.036,Ch,C-type
20000148,7.65,97.75,0.1882,2.77,2.249,25.29,3.29,0.164,S,S-type
20000151,9.36,39.037,0.0358,2.592,2.499,6.43,2.68,0.233,Sl,S-type
20000152,8.39,58.964,0.0825,3.137,2.879,12.12,3.4,0.257,S,S-type
20000156,8.84,143.346,0.2238,2.733,2.122,9.78,3.35,0.03,Ch,C-type
20000158,9.37,39.025,0.0533,2.868,2.715,1.01,3.02,0.213,S,S-type
20000159,8.31,125.236,0.0994,3.107,2.798,6.11,3.42,0.064,Ch,C-type
20000162,9.13,97.021,0.1825,3.015,2.465,6.09,3.57,0.051,Ch,C-type
20000163,9.8,81.579,0.1921,2.366,1.912,4.82,2.82,0.033,Ch,C-type
20000167,9.4,39.935,0.0372,2.854,2.748,2.22,2.96,0.223,Sk,S-type
20000168,8.29,145.366,0.0748,3.374,3.121,4.67,3.63,0.056,Ch,C-type
20000169,9.57,37.517,0.1302,2.358,2.051,5.5,2.67,0.188,Sl,S-type
20000170,9.36,33.136,0.0614,2.554,2.397,14.36,2.71,0.282,S,S-type
20000172,8.73,62.43,0.1143,2.38,2.108,10.02,2.65,0.1382,L,S-type
20000174,8.45,64.849,0.1449,2.86,2.445,12.1,3.27,0.169,S,S-type
20000176,8.45,106.976,0.1719,3.179,2.632,22.68,3.73,0.065,Ch,C-type
20000177,9.64,69.049,0.2342,2.771,2.122,1.38,3.42,0.022,Ch,C-type
20000178,9.54,35.81,0.0418,2.462,2.359,1.89,2.57,0.2438,S,S-type
20000179,8.28,69.946,0.1096,2.974,2.648,7.82,3.3,0.198,Sk,S-type
20000180,10.33,23.44,0.1683,2.72,2.262,0.87,3.18,0.242,Sq,S-type
20000182,9.15,39.52,0.1868,2.415,1.964,2.01,2.87,0.196,S,S-type
20000183,9.49,32.927,0.3483,2.795,1.822,26.39,3.77,0.227,S,S-type
20000186,9.11,49.99,0.1493,2.362,2.009,13.19,2.71,0.1929,K,S-type
20000187,8.41,147.294,0.24,2.728,2.073,10.58,3.38,0.044,Ch,C-type
20000188,9.31,35.752,0.1788,2.762,2.268,11.7,3.26,0.242,S,S-type
20000189,9.4,38.49,0.0364,2.451,2.362,5.18,2.54,0.17,Sa,S-type
20000192,7.21,98.776,0.2456,2.403,1.813,6.8,2.99,0.327,Sl,S-type
20000193,9.81,26.302,0.2983,2.598,1.823,12.0,3.37,0.343,Sk,S-type
20000195,9.27,93.109,0.0389,2.878,2.766,6.96,2.99,0.051,Ch,C-type
20000196,6.73,144.626,0.0144,3.112,3.067,7.26,3.16,0.342,S,S-type
20000197,9.57,31.729,0.1628,2.74,2.294,8.79,3.19,0.373,S,S-type
20000198,8.56,54.323,0.2275,2.458,1.899,9.32,3.02,0.268,S,S-type
20000200,8.47,128.301,0.1331,2.737,2.372,6.9,3.1,0.053,Ch,C-type
20000205,9.47,76.983,0.0363,2.776,2.675,10.71,2.88,0.061,Ch,C-type
20000207,10.28,57.88,0.0291,2.284,2.217,3.8,2.35,0.058,Ch,C-type
20000208,9.29,40.056,0.0111,2.893,2.861,1.74,2.92,0.206,Sk,S-type
20000211,8.0,141.125,0.1548,3.047,2.575,3.87,3.52,0.062,Ch,C-type
20000221,7.76,95.469,0.1013,3.013,2.708,10.89,3.32,0.166,K,S-type
20000226,9.88,31.494,0.2035,2.713,2.161,15.97,3.26,0.352,S,S-type
20000228,12.29,9.3,0.2423,2.201,1.667,2.54,2.73,0.2082,S,S-type
20000230,7.53,111.332,0.0613,2.382,2.236,9.46,2.53,0.164,Sl,S-type
20000233,8.47,99.672,0.1012,2.661,2.392,7.69,2.93,0.094,K,S-type
20000236,8.24,77.708,0.19,2.799,2.267,7.7,3.33,0.156,L,S-type
20000237,9.19,41.08,0.0735,2.763,2.56,9.76,2.97,0.2108,S,S-type
20000238,8.09,155.659,0.0919,2.908,2.641,12.4,3.17,0.039,Ch,C-type
20000243,10.09,32.0,0.0447,2.86,2.732,1.13,2.99,0.262,S,S-type
20000244,12.0,11.077,0.1369,2.175,1.877,2.85,2.47,0.256,Sa,S-type
20000245,7.98,75.949,0.1976,3.096,2.484,5.18,3.71,0.228,S,S-type
20000257,9.72,72.66,0.1124,3.12,2.769,3.61,3.47,0.0545,Ch,C-type
20000258,8.3,64.78,0.2052,2.614,2.077,14.33,3.15,0.1676,S,S-type
20000263,10.27,23.952,0.0804,2.888,2.656,1.32,3.12,0.198,S,S-type
20000264,8.3,62.969,0.1354,2.798,2.419,10.43,3.18,0.187,S,S-type
20000266,8.73,109.494,0.1544,2.804,2.371,13.4,3.24,0.027,Ch,C-type
20000267,10.25,55.998,0.1024,2.772,2.488,6.01,3.06,0.051,D,C-type
20000278,9.4,32.773,0.1346,2.753,2.383,7.84,3.12,0.247,S,S-type
20000281,12.07,11.036,0.1322,2.188,1.899,5.3,2.48,0.226,S,S-type
20000284,10.35,52.95,0.2213,2.36,1.838,8.05,2.88,0.0602,Ch,C-type
20000286,9.05,94.3,0.0234,3.195,3.12,17.94,3.27,0.0508,Ch,C-type
20000288,9.89,28.981,0.2058,2.76,2.192,4.34,3.33,0.175,S,S-type
20000295,10.06,28.34,0.1674,2.799,2.33,2.7,3.27,0.171,S,S-type
20000306,8.79,47.2,0.152,2.357,1.999,7.28,2.72,0.201,S,S-type
20000310,10.21,33.708,0.117,2.761,2.438,3.17,3.08,0.115,S,S-type
20000312,8.99,46.191,0.1603,2.782,2.336,9.03,3.23,0.23,Sk,S-type
20000321,10.12,27.974,0.0477,2.888,2.75,2.58,3.03,0.425,S,S-type
20000327,10.06,30.291,0.0621,2.779,2.606,7.13,2.95,0.214,Sl,S-type
20000339,9.42,44.329,0.1015,3.011,2.706,9.95,3.32,0.198,K,S-type
20000342,10.29,64.266,0.1305,2.569,2.234,7.35,2.9,0.035,Ch,C-type
20000345,9.09,90.243,0.0614,2.325,2.182,9.74,2.47,0.052,Ch,C-type
20000346,7.38,86.447,0.103,2.795,2.507,8.76,3.08,0.332,S,S-type
20000349,6.04,139.77,0.0889,2.925,2.664,8.25,3.18,0.384,R,S-type
20000352,10.13,26.744,0.1493,2.194,1.867,3.38,2.52,0.195,Sl,S-type
